Name,Rating,area
Goldilocks,b,bs
Burgess Bridge,b,bs
Pipeline,b,bs
Bear Boogie,b,bs
West World,b,bs
Big John,b,bs
Shady Grove,b,bs
Grouse Connection,b,bs
Satisfaction,b,bs
Pacesetter,b,bs
Corral Ridge,bd,bs
Blue Jay Way,bd,bs
Oopla,bd,bs
Spy Glass,bd,bs
Tigger’s,bd,bs
Kohoutek Gulley,bd,bs
Rodeo,g,fs
Cub Meadow,g,fs
Ego Alley,g,fs
Lodge Run,g,fs
Mokelumne West,b,fs
Tuck’s Traverse,b,fs
Spring Gap,b,fs
Bono’s Alley,b,fs
Upper Mokelumne,b,fs
Hog Back,b,fs
Lonely Pine,b,fs
NASTAR,b,fs
Sugar,b,fs
Water Tank,b,fs
Feather Duster,bd,fs
Lower Mokelumne,bd,fs
Kyle’s,bd,fs
Yellow Submarine,bd,fs
Monte Wolfe,bd,fs
National,bd,fs
Groovey Gulley,bd,fs
Australia Street,bd,fs
Cliff Run,bd,fs
Porridge Bowl,bd,fs
Cornice,bd,fs
Hank’s,bd,fs
Grizzly Gate,bd,lm
Anticipation Gate,bd,lm
Freefall Gate,bd,lm
Snow Valley,bd,lm
Bad Boy Gate,bd,lm
West Ridge,dbd,lm
Cece's,dbd,lm
Tortilla Cliffs,dbd,lm
Gunmount Gate,dbd,lm
Hari Kari,dbd,lm
Greg’s Way,g,vs
Lunch Run,b,vs
East Bowl,b,vs
Home Run,bd,vs
